"PlotID"	"Study"	"Island"	"Scientific_name"	"Native_Status"	"Abundance"
"1"	1	"Knight_Barton"	"O'ahu Island (incl. Mokoli'i Islet)"	"Acacia koa"	"native"	12
"2"	1	"Knight_Barton"	"O'ahu Island (incl. Mokoli'i Islet)"	"Cordyline fruticosa"	"native"	3
"3"	1	"Knight_Barton"	"O'ahu Island (incl. Mokoli'i Islet)"	"Diospyros sandwicensis"	"native"	3
"4"	1	"Knight_Barton"	"O'ahu Island (incl. Mokoli'i Islet)"	"Metrosideros polymorpha"	"native"	34
"5"	1	"Knight_Barton"	"O'ahu Island (incl. Mokoli'i Islet)"	"Nestegis sandwicensis"	"native"	1
"6"	1	"Knight_Barton"	"O'ahu Island (incl. Mokoli'i Islet)"	"Psidium cattleianum"	"alien"	6
"7"	1	"Knight_Barton"	"O'ahu Island (incl. Mokoli'i Islet)"	"Psydrax odorata"	"native"	14
"8"	1	"Knight_Barton"	"O'ahu Island (incl. Mokoli'i Islet)"	"Styphelia tameiameiae"	"native"	1
"9"	1	"Knight_Barton"	"O'ahu Island (incl. Mokoli'i Islet)"	"Wikstroemia oahuensis"	"native"	1
"10"	2	"Zimmerman"	"Hawai'i Island"	"Diospyros sandwicensis"	"native"	4
"11"	2	"Zimmerman"	"Hawai'i Island"	"Metrosideros polymorpha"	"native"	43
"12"	2	"Zimmerman"	"Hawai'i Island"	"Polyscias hawaiensis"	"native"	1
"13"	2	"Zimmerman"	"Hawai'i Island"	"Psidium cattleianum"	"alien"	6
"14"	2	"Zimmerman"	"Hawai'i Island"	"Psidium guajava"	"alien"	1
"15"	2	"Zimmerman"	"Hawai'i Island"	"Psychotria hawaiiensis"	"native"	6
"16"	3	"Zimmerman"	"Hawai'i Island"	"Melastoma malabathricum"	"alien"	1
"17"	3	"Zimmerman"	"Hawai'i Island"	"Metrosideros polymorpha"	"native"	36
"18"	4	"Zimmerman"	"Hawai'i Island"	"Diospyros sandwicensis"	"native"	1
"19"	4	"Zimmerman"	"Hawai'i Island"	"Melastoma malabathricum"	"alien"	5
"20"	4	"Zimmerman"	"Hawai'i Island"	"Metrosideros polymorpha"	"native"	3
"21"	4	"Zimmerman"	"Hawai'i Island"	"Psidium cattleianum"	"alien"	50
"22"	4	"Zimmerman"	"Hawai'i Island"	"Psidium guajava"	"alien"	1
"23"	4	"Zimmerman"	"Hawai'i Island"	"Psychotria hawaiiensis"	"native"	2
"24"	5	"Zimmerman"	"Hawai'i Island"	"Metrosideros polymorpha"	"native"	41
"25"	5	"Zimmerman"	"Hawai'i Island"	"Psidium cattleianum"	"alien"	49
"26"	5	"Zimmerman"	"Hawai'i Island"	"Psychotria hawaiiensis"	"native"	3
"27"	6	"Zimmerman"	"Hawai'i Island"	"Aleurites moluccanus"	"alien"	7
"28"	6	"Zimmerman"	"Hawai'i Island"	"Falcataria moluccana"	"alien"	2
"29"	6	"Zimmerman"	"Hawai'i Island"	"Metrosideros polymorpha"	"native"	7
"30"	6	"Zimmerman"	"Hawai'i Island"	"Psidium cattleianum"	"alien"	1
"31"	6	"Zimmerman"	"Hawai'i Island"	"Psidium guajava"	"alien"	12
"32"	6	"Zimmerman"	"Hawai'i Island"	"Psychotria hawaiiensis"	"native"	9
"33"	6	"Zimmerman"	"Hawai'i Island"	"Trema orientalis"	"alien"	1
"34"	7	"Zimmerman"	"Hawai'i Island"	"Melastoma malabathricum"	"alien"	24
